Site,Chain,Station Code,Operators,Geo Lat,Geo Lon,GLAT,GLON,CGM Lat,CGM Lon,L-shell,MM,Date deployed,Date decommissioned,Data Repository,Notes 1,Notes 2,,,
Isfjord Radio,MICA North,ISR,UNH,78.0 N,13.4 E,78,13.4,75.7 N,105.9 E,16.4 (Cusp/Polar Cap),22:10,2007,,http://mirl.unh.edu/ulf_status.html,"CGM, MM, L-shell calculated for 1-1-2020 via AACGM v2 at 100km",,,,
Ny Alesund,MICA North,NAL,UNH,78.9 N,11.6 E,78.9,11.6,76.7 N,106.3 E,18.8 (Cusp/Polar Cap),22:08,2007,,http://mirl.unh.edu/ulf_status.html,"CGM, MM, L-shell calculated for 1-1-2020 via AACGM v2 at 100km",,,,
Longyearbyen,MICA North,LYR,UNH,78.1 N,16.0 E,78.1,16,75.7 N,107.9 E,16.3 (Cusp/Polar Cap),22:02,2007,,http://mirl.unh.edu/ulf_status.html,"CGM, MM, L-shell calculated for 1-1-2020 via AACGM v2 at 100km",,,,
Hornsund,MICA North,HOR,UNH,77.0 N,15.3 E,77,15.3,74.7 N,105.6 E,14.2 (Cusp/Polar Cap),22:11,2007,,http://mirl.unh.edu/ulf_status.html,"CGM, MM, L-shell calculated for 1-1-2020 via AACGM v2 at 100km",,,,
Sondrestrom,MICA North,SDY,UNH,66.6 N,50.6 W,66.6,-50.6,71.2 N,38.5 E,9.9,2:29,1984,2018,http://mirl.unh.edu/ulf_status.html,"CGM, MM, L-shell calculated for 1-1-2020 via AACGM v2 at 100km",,,,
Iqaluit,MICA North,IQA,UNH,63.5 N,68.3 W,63.5,-68.3,70.8 N,14.9 E,9.5,3:55,1993,,http://mirl.unh.edu/ulf_status.html,"CGM, MM, L-shell calculated for 1-1-2020 via AACGM v2 at 100km",,,,
Sanikiluaq,MICA North,SNK,UNH,56.3 N,79.1 W,56.3,-79.1,65.1 N,1.6 W,5.7,4:57,2015,,http://mirl.unh.edu/ulf_status.html,"CGM, MM, L-shell calculated for 1-1-2020 via AACGM v2 at 100km",,,,
,,,,,,,,,,,,,,,,,,,
Barentsburg (40Hz),Sodankylä Geophysical Observatory,BAR,SGO,78.09°N,14.12°E,78.09,14.12,75.4°N,110.4°E,15.9,,7/4/2005,3/17/2007,"https://www.sgo.fi/Data/Pulsation/pulData.php (Quicklooks only, must request raw data)",*Calculated for 2005,"Info about station coords, conjugates, etc. taken from SGO site for 2020, calculated for 2015 at 110km: https://www.sgo.fi/Data/stations.php?y=2020",,,
Kilpisjärvi (40Hz),Sodankylä Geophysical Observatory,KIL,SGO,69.05°N,20.79°E,69.05,20.79,66.2°N,102.8°E,6.2,,6/1/1999,11/19/2015,"https://www.sgo.fi/Data/Pulsation/pulData.php (Quicklooks only, must request raw data)",HDZ,"Info about station coords, conjugates, etc. taken from SGO site for 2020, calculated for 2015 at 110km: https://www.sgo.fi/Data/stations.php?y=2020",,,
Ivalo (40Hz),Sodankylä Geophysical Observatory,IVA,SGO,68.55°N,27.28°E,68.55,27.28,65.4°N,107.8°E,5.9,,6/1/1999,,"https://www.sgo.fi/Data/Pulsation/pulData.php (Quicklooks only, must request raw data)",HDZ,"Info about station coords, conjugates, etc. taken from SGO site for 2020, calculated for 2015 at 110km: https://www.sgo.fi/Data/stations.php?y=2020",,,
Sodankylä (40Hz),Sodankylä Geophysical Observatory,SOD,SGO,67.42°N,26.39°E,67.42,26.39,64.3°N,106.4°E,5.4,,6/1/1995,,"https://www.sgo.fi/Data/Pulsation/pulData.php (Quicklooks only, must request raw data)",HDZ,"Info about station coords, conjugates, etc. taken from SGO site for 2020, calculated for 2015 at 110km: https://www.sgo.fi/Data/stations.php?y=2020",,,
Rovaniemi (40Hz),Sodankylä Geophysical Observatory,ROV,SGO,66.78°N,25.94°E,66.78,25.94,63.6°N,105.6°E,5.1,,6/1/1999,,"https://www.sgo.fi/Data/Pulsation/pulData.php (Quicklooks only, must request raw data)",HDZ,"Info about station coords, conjugates, etc. taken from SGO site for 2020, calculated for 2015 at 110km: https://www.sgo.fi/Data/stations.php?y=2020",,,
Oulu (40Hz),Sodankylä Geophysical Observatory,OUL,SGO,65.08°N,25.90°E,65.08,25.9,61.9°N,104.7°E,4.6,,7/1/2000,8/18/2020,"https://www.sgo.fi/Data/Pulsation/pulData.php (Quicklooks only, must request raw data)","HDZ, *Continuous with 250Hz Oulu data","Info about station coords, conjugates, etc. taken from SGO site for 2020, calculated for 2015 at 110km: https://www.sgo.fi/Data/stations.php?y=2020",,,
Nurmijärvi (40Hz),Sodankylä Geophysical Observatory,NUR,SGO,60.51°N,24.65°E,60.51,24.65,57.1°N,101.8°E,3.4,,8/9/2000,12/11/2019,"https://www.sgo.fi/Data/Pulsation/pulData.php (Quicklooks only, must request raw data)","HDZ, *Continuous with 250Hz Nurmijärvi data","Info about station coords, conjugates, etc. taken from SGO site for 2020, calculated for 2015 at 110km: https://www.sgo.fi/Data/stations.php?y=2020",,,
Kevo (250Hz),Sodankylä Geophysical Observatory,KEV250,SGO,69.75°N,27.02°E,69.75,27.02,66.6°N,108.4°E,6.5,,11/13/2018,,"https://www.sgo.fi/Data/Pulsation/pulData.php (Quicklooks only, must request raw data)",XY,"Info about station coords, conjugates, etc. taken from SGO site for 2020, calculated for 2015 at 110km: https://www.sgo.fi/Data/stations.php?y=2020",,,
Kilpisjärvi (250Hz),Sodankylä Geophysical Observatory,KIL250,SGO,69.05°N,20.79°E,69.05,20.79,66.2°N,102.8°E,6.2,,11/1/2015,,"https://www.sgo.fi/Data/Pulsation/pulData.php (Quicklooks only, must request raw data)",XY,"Info about station coords, conjugates, etc. taken from SGO site for 2020, calculated for 2015 at 110km: https://www.sgo.fi/Data/stations.php?y=2020",,,
Abisko (250Hz),Sodankylä Geophysical Observatory,ABI250,SGO,68.36°N,18.82°E,68.36,18.82,65.5°N,100.8°E,5.9,,7/2/2019,,"https://www.sgo.fi/Data/Pulsation/pulData.php (Quicklooks only, must request raw data)",XY,"Info about station coords, conjugates, etc. taken from SGO site for 2020, calculated for 2015 at 110km: https://www.sgo.fi/Data/stations.php?y=2020",,,
